No,Chinese,Pinyin,English
1,我,wǒ,"I, me"
2,我们,wǒmen,"we, us (pl.)"
3,你,nǐ,you
4,他,tā,"he, him"
5,她,tā,"she, her"
6,这 (这儿),zhè ( zhèr),this (here)
7,那 (那儿),nà (nàr),that (there)
8,哪,nǎ,which
9,哪儿,nǎr,where
10,谁,shéi,who
11,什么,shénme,"what, why"
12,多少,duōshǎo,"how many, how much"
13,几,jǐ,"a few, how many"
14,怎么,zěnme,how
15,怎么样,zěnmeyàng,how about
16,一,yī,one
17,二,èr,two
18,三,sān,three
19,四,sì,four
20,五,wǔ,five
21,六,liù,six
22,七,qī,seven
23,八,bā,eight
24,九,jiǔ,nine
25,十,shí,ten
26,个,gè,(for normal objects)
27,岁,suì,(for age)
28,本,běn,(for books)
29,些,xiē,some
30,块,kuài,"piece, chunk"
31,不,bù,no
32,没,méi,no
33,很,hěn,"quite, very"
34,太,tài,too
35,都,dōu,all
36,一点儿,yīdiǎnr,a little bit
37,和,hé,and
38,在,zài,"in, at"
39,的,de,
40,了,le,
41,吗,ma,
42,呢,ne,
43,喂,wèi,hello
44,家,jiā,home
45,学校,xuéxiào,school
46,饭店,fàndiàn,restaurant
47,商店,shāngdiàn,store
48,医院,yīyuàn,hospital
49,中国,Zhōngguò,China
50,北京,Běijīng,Beijing
51,上,shàng,up
52,下,xià,down
53,前面,qiánmiàn,front
54,后面,hòumiàn,behind
55,里,lǐmiàn,inside
56,今天,jīntiān,today
57,明天,míngtiān,tomorrow
58,昨天,zuótiān,yesterday
59,上午,shàngwǔ,morning
60,中午,zhōngwǔ,noon
61,下午,xiàwǔ,afternoon
62,年,nián,year
63,月,yuè,month
64,号,hào,number/date
65,星期,xīngqī,week
66,点,diǎn,o’clock
67,分钟,fēnzhōng,minute
68,现在,xiànzài,now
69,时候,shíhou,time
70,爸爸,bàba,father
71,妈妈,māma,mother
72,儿子,érzi,son
73,女儿,nǚér,daughter
74,老师,lǎoshī,teacher
75,学生,xuéshēng,student
76,同学,tóngxué,classmate
77,朋友,péngyǒu,friend
78,医生,yīshēng,doctor
79,先生,xiānsheng,sir
80,小姐,xiǎojiě,Miss
81,衣服,yīfu,cloth
82,水,shuǐ,water
83,菜,cài,dish
84,米饭,mǐfàn,rice
85,水果,shuǐguǒ,fruit
86,苹果,píngguǒ,apple
87,茶,chá,tea
88,杯子,bēizi,cup
89,钱,qián,money
90,飞机,fēijī,airplane
91,出租车,chūzūchē,taxi
92,电视,diànshì,television
93,电脑,diànnǎo,computer
94,电影,diànyǐng,movie
95,天气,tiānqì,weather
96,猫,māo,cat
97,狗,gǒu,dog
98,东西,dōngxi,thing
99,人,rén,person
100,名字,míngzi,name
101,书,shū,book
102,汉语,hànyǔ,mandarin Chinese
103,字,zì,character
104,桌子,zhuōzi,desk
105,椅子,yǐzi,chair
106,谢谢,xièxie,thank
107,不客气,búkèqì,you are welcome
108,再见,zàijiàn,good-bye
109,请,qǐng,please
110,对不起,duìbùqǐ,sorry
111,没关系,méiguānxì,It doesn’t matter
112,是,shì,"be (am, is, are)"
113,有,yǒu,have
114,看,kàn,look
115,听,tīng,listen
116,说,shuō,speak
117,读,dú,read
118,写,xiě,write
119,看见,kànjiàn,see
120,叫,jiào,call
121,来,lái,come
122,回,huí,return
123,去,qù,go
124,吃,chī,eat
125,喝,hē,drink
126,睡觉,shuìjiào,sleep
127,打电话,dǎdiànhuà,make phone call
128,做,zuò,do
129,买,mǎi,buy
130,开,kāi,open
131,坐,zuò,sit
132,住,zhù,live
133,学习,xuéxí,study
134,工作,gōngzuò,work
135,下雨,xiàyǔ,rain
136,爱,ài,love
137,喜欢,xǐhuān,"love, like"
138,想,xiǎng,want
139,认识,rènshi,know
140,会,huì,can
141,能,néng,"can, be able to"
142,好,hǎo,good
143,大,dà,big
144,小,xiǎo,small
145,多,duō,"many, much"
146,少,shǎo,"few, little"
147,冷,lěng,cold
148,热,rè,hot
149,高兴,gāoxìng,happy
150,漂亮,piàoliang,beautiful
